Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Walter Barbare,1891,8,1914,1922,1.9,0,500,1777,173,462,1,156,37,88,0.26,0.297,0.315,0.612,71,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,BOS,CLE,PIT"
Karl Adams,1891,2,1914,1915,-1.8,0,30,32,0,1,0,0,0,0,0.031,0.031,0.031,0.063,-81,1,9,5.01,56.0,1.452,30,12,0,115.0,62,"CHC,CIN"
Harry Swan,1887,1,1914,1914,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1,0,0,1.0,1,KCP
Pete Knisely,1884,4,1912,1915,-0.4,0,124,272,27,64,0,29,4,24,0.235,0.307,0.324,0.63,86,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,CIN"
Doc Tonkin,1881,1,1907,1907,0.0,0,1,2,1,2,0,0,0,0,1.0,1.0,1.0,2.0,561,0,0,6.75,44.0,4.125,1,0,0,2.6666666666666665,0,MIN
Harry McNeal,1877,1,1901,1901,-0.4,0,12,37,1,6,0,2,0,1,0.162,0.184,0.189,0.373,5,5,5,4.43,81.0,1.758,12,10,0,85.33333333333333,15,CLE
Danny Murphy,1876,16,1900,1915,35.7,0,1496,5399,705,1563,44,702,193,335,0.289,0.336,0.405,0.742,124,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BTT,OAK,SFG"
Ed Walker,1874,2,1902,1903,-0.4,0,4,6,0,1,0,0,0,1,0.167,0.286,0.167,0.452,34,0,2,4.5,72.0,1.85,4,4,0,20.0,5,CLE
Dan O'Connor,1868,1,1890,1890,0.4,0,6,26,3,12,0,5,5,1,0.462,0.481,0.577,1.058,212,0,0,0.0,0.0,0.0,0,0,0,0.0,0,LOU
Henry Zeiher,1862,1,1886,1886,-0.4,0,6,21,0,0,0,0,0,1,0.0,0.045,0.0,0.045,-85,0,0,0.0,0.0,0.0,0,0,0,0.0,0,WNL
Doc Kennedy,1853,5,1879,1883,4.5,0,160,615,67,160,1,53,0,15,0.26,0.278,0.319,0.596,97,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BUF,CBL"
